complaints,Product,Company,target
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NJ. XXXX ( XXXX ) XXXX XXXX XX/XX/XXXX Consumer Financial Protection Bureau ( CFPB ) XXXX ; www.consumerfinance, cov/mortgagehelp Dear Sir or Madame : Unfortunately, I have no choice but to file a complaint regarding my PHH Mortgage Home Loan # XXXX. Since XX/XX/XXXX, I have been trying to resolve the following matter with XXXX PHH Mortgage Services. The attached three ( 3 ) pdf documents substantiate my statements below. 

In XXXX, I contacted XXXX  PHH to recast my mortgage loan, and they sent me the required Principal Curtailment Modification Form. On XX/XX/XXXX, I returned that completed form to XXXX along with a {$300.00} check for the required processing fee plus a {$95000.00} check for Principal Payment. This mailing was per Certified Mail # XXXX XXXX XXXX XXXX XXXX. My return receipt indicated XXXX of XXXX signed receipt on XX/XX/XXXX. My bank statement showed these checks were cashed on XX/XX/XXXX. However, there was no recasting of my mortgage. I made no fewer than XXXX telephone calls to resolve this. Expeditor XXXX  XXXX was the last XXXX XXXX Representative that I spoke with at XXXX x ( XXXX ). He told me that XXXX had received my checks but did not receive the Principal Curtailment Modification Form ( which I had enclosed in the SAME envelope as the two checks ). He told me to resend that form. So I resent the form per Certified Mail # XXXX XXXX XXXX XXXX XXXX. My return receipt indicated that XXXX XXXX of XXXX received this on XX/XX/XXXX. 

This week, Mr. XXXX telephoned me to reassure me that the Escalation Department completed my mortgage recast request. He said that I would get a document in the mail that I must notarize and return. Then my recast would be processed. Well, Instead of this promised document, I received two unrelated documents : First, I received a letter entitled The mortgage assistance application was received. The next day I received Missing items from the request for mortgage assistance. I did not receive the recast documents that Mr. XXXX promised my by phone. 

XXXX has kept my {$300.00} recast processing ( cashed on XX/XX/XXXX ) fee without recasting my mortgage. I have twice spent money on certified mailings and much time on useless telephone calls. I have patiently tried to resolve this since XX/XX/XXXX. 

I request CFPB to help me resolve this. I would like my mortgage to be recast, but I do not want to spend more money/time on now having to notarize documents. This notarizing process was not part of the original recast requirement. If XXXX refuses to omit this new, additional requirement ( i.e., notarization of documents ) do this for me, then I want both my {$300.00} and {$95000.00} returned to me so that I can refinance my mortgage loan elsewhere. Thank you for your assistance. 

Sincerely, XXXX XXXX Cc : 3 pdf documents to substantiate the above",Mortgage,Ocwen Financial Corporation,2
"After numerous attempts to get verification since 2017 from Datamax Corp, I still haven't received any verification that this fraudulent debt belongs to me and they are reporting this debt on my credit reports when I don't even know what this debt is for!",Debt collection,DataMax Corporation,0
"Good Afternoon, I purchased shoes in Macys in New York XXXX XXXX on XX/XX/XXXX for vacation to XXXX and then a cruise. When I got to Florida on XX/XX/XXXX, I saw the shoes the Macys associate put in my box were the same feet. So I went to the XXXX XXXX  Macys store in Florida and returned the shoes and bought new pair of the exact same shoes with the right feet. The associate took my receipt and told me I would receive a check for the refund from Macys for the shoes I bought in New York and she processed the return for the shoes. The associate gave me a new receipt from XXXX XXXX  for the second pair of shoes, which I attached the receipt to this email. I never received the refund check for the pair of shoes I returned. 

I called Macys at the XXXX XXXX in Florida where I made the return and got the right pair shoes and they said to contact Macys customer service if I dont receive in 3 Weeks. I still did not receive a check and Im out {$51.00} because I paid for the same pair of shoes twice. 
If Macys provided you with the receipt from XXXX XXXX XXXX in New York you will see I purchased the exact same item in Florida. 
Macys keeps bouncing me around. I disputed the card with Citi the merchant responded and Citi asked me for my return receipt. Despite the fact I let them know the lady took my original receipt and made the return. I only have a receipt for the pair of shoes I purchased in Florida. ( The exact same pair ). 
Citi bank reversed my credit and now I am stuck paying for the same pair of shoes twice! Citi bank needs to fix this.",Credit card or prepaid card,"CITIBANK, N.A.",1
"Someone called from XXXX to my best friends phone ( the same number I provided on the previous page ) and stated MY name on her voicemail and that it was regarding a transaction I approved, and that her "" output will determine the outcome of this serious matter '' -- he is walking a very fine line, I don't know what the calls about as I recently had XXXX and have a lot of debt now but the language is definitely deceiving and appears to be against UDAAP standards. The callers phone number was XXXX extension was XXXX name is XXXX, states he was calling from Alliant Capitol Management, a company I have never heard of. I can assure you that nothing she says will determine ANYTHING and this was a false and deceptive statement ( coercive ) to an unauthorized 3rd party-and I have never authorized any transactions by that company, that was a lie. The phone number provided for a return call is not the same number on their website.",Debt collection,Alliant Capital Management LLC,0
I have had insurance since I was born. Ever since I moved to XXXX the hospitals seem to put negative marks on my credit to collect money that insurance has already paid I dispute the negative marks and they go away because it has already been paid by insurance. This seems like an insurance scam. On XX/XX/XXXX XXXX XXXX XXXX XXXX put a collection account on my credit for {$1000.00}. I have called the hospital each time and they say that I do not have a balance ever and that my bill has always been paid by insurance in full. I called XXXX XXXX XXXX XXXX billing department directly and they say the same thing that I do not have a balance and all bills were paid in full by insurance. How do I get them to remove negative marks they put there if they claim it is not them and block them from putting anything negative on mu credit in the future? This is not the only company that does this. XXXX XXXX XXXX XXXX XXXX does this as well. On XX/XX/XXXX they did the same thing and it still has not been removed. I have called and they say I have no balance and all bills have been paid by insurance in full. How do I get them to remove the negative mark and block them from future fraud that they keep doing to my credit?,Debt collection,"CMRE Financial Services, Inc.",0
"Please be advised I have submitted all my information and offer to the lender for review of a short sale. I have true hardship no money, no type of income and need to have the lender complete the review so I could avoid facing foreclosure. Borrower was in XXXX lastly working and has no income at this time and a cash offer of XXXX on the home. We kindly need assistance to have the home reviewed for the short sale. Full packet is with the lender.",Mortgage,MIDFIRST BANK,2
"I have repeatedly asked Bank of America to cancel the two {$30.00} stop payment fees on two checks each one for {$54.00}. I went to its branch in XXXX, New Jersey. I spoke at length to the branch manage in XXXX, New Jersey who was none to friendly or kind. It is unjust and usurious to charge me {$30.00} to stop a {$54.00} check! The branch manager said "" We do not have a sliding scale. '' Ridiculous! The Bank of America should. Am I to be told that there would be a {$30.00} stop check fee for a {$5.00} check? Or a {$30.00} fee for a {$2.00} check? 

Furthermore, the two checks were to the a court of law that failed to process the check and so I cancelled payment of the checks! 

I am willing to pay something but not {$30.00} per check and I made that abundantly clear repeatedly to the branch manager who paid me no mind! 

Outrageous! 

The Bank of America may not cancel my accounts because of my complaint as that would be obstruction of justice and interference with the administration of government. Both are felonies under the law! 

XXXX XXXX, XXXX. XXXX. 
XXXX XXXX  XXXX ( XXXX  )",Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION",3
"XXXX XXXX ( XXXX XXXX XXXX XXXX, XXXX, WA XXXX ) Sold an apartment complex including all tenant debts at the time of sale in XX/XX/2019 ; He subsequently attempted to collect on those same debts ( double collect on the same debts ) that the purchaser ( XXXX XXXX XXXX ) now owns and manages. Mr. XXXX has in his possession the real estate contract which clearly outlines that all tenant accounts/ both credits and/or debts owed were transferred at the time of sale to the new property owners - the new apartment owner/manager confirmed this with me in detail. According to the new apartment owners, Mr. XXXX XXXX was selective about which tenants he attempted to strong arm debt collection from - XXXX and elderly tenants were targeted in an attempt to collect extra money from a real estate sale in which he had already been compensated. The current apartment owner managing these tenant accounts advised the tenants to ignore Mr. XXXX 's wrongful attempt to collect the debt and that Mr. XXXX is attempting to scam extra payments from debt that he no longer owned and was not entitled to collect. 

XXXX XXXX XXXX ( XXXX XXXX XXXX XXXX WA XXXX ) reported this fraudulent attempt to collect debt on all three credit bureaus, dropping by credit score by more than 100 points. After many phone calls, this debt collection agency refused to entertain any resolution or address my concerns and hung up on me multiple times.",Debt collection,Credit International Corporation,0
"I having been experiencing financial hardship due to loss of employment since XXXX which caused me to fall behind on my mortgage payments. I contacted XXXX, mortgage service provider, back in XX/XX/XXXX and made a payment from XX/XX/XXXX through XX/XX/XXXX. I still had an owed outstanding payments for XXXX-XXXX  XXXX  in order to bring the loan current. I contacted them in XXXX to make another partial payment for XXXX-XXXX  it they wouldnt accept my payment they wanted the entire amount. I found employment in XX/XX/XXXX but still didnt recoup enough catch up earnings to pay the current missed payments. My home is in active foreclosure. I have been contacting XXXX to find out about the balance and affordable repayment options. Each time I contacted XXXX to find out the current amount owed the figures continued to change with each representative that I spoke with. The last communication I had with XXXX was on XX/XX/XXXX prior to their relinquishing my mortgage to New Rez aka Shellpoint Mortgage effective XX/XX/XXXX because they were going bankrupt, the amount reported to me was {$16000.00} not including the reinstatement fees. I was advised by XXXX to contact the attorney XXXX, XXXX to find out the reinstatement fees for attorney costs. I contacted the attorneys office on XX/XX/XXXX and spoke to XXXX and sent them an email as they instructed in order to obtain the quote for reinstatement fees. I had not received any response. On XX/XX/XXXX, I decided to contact Shellpoint Mortgage. After being bounced around, I was advised by the representative tha my monthly mortgage increased from {$1700.00} to {$2300.00} and I have to pay {$25000.00}, not the {$16000.00} that XXXX told me I owed. This figure of {$25000.00} still did not include the reinstatement fees from the attorneys office. I told them I could pay the {$16000.00} but I did not have the {$25000.00}. They told me to contact my point of contact person XXXX XXXX. I dont know where the extra fees came from and what changed in 2 weeks with my original communication with XXXX. I dont know what am paying for but Im stressed out & I feel like Im being ripped off by these companies. Please contact me at ( XXXX ) XXXX.",Mortgage,"Shellpoint Partners, LLC",2
"I was in the process of refinanceing my Mortgage, which I started in XX/XX/2020 I was working with someone from Lakeview Loancare Loan servicing, I had submitted all the info paper work and such and was told I would be closing the end of XXXX. I revieced an email on XX/XX/XXXX From XXXX XXXX Mortgage loan officer not to make my XXXX payment that we were close. I emailed hime several times and he responded that we are all good and close. well when I didnt hear anything back by XX/XX/XXXX I started to call the customer service line because XXXX was not answering my phone calls or emails. I found out that they kick out my refiance because I was 30 days late on my payment. I spoke to a few managers XXXX XXXX XXXX for one who said he was going to see what he could do .. I also spoke to a Mo XXXX and it is now a week later and I have heard nothing back. I made XXXX and XXXX payment now. but I want this refinance they had me locked at 3.1. This is not my fault and terrible costumer service on their part.",Mortgage,"LAKEVIEW LOAN SERVICING, LLC",2
I closed on my house in XXXX is 2019. I just tried to refinance to find out that they never paid the taxes I prepaid from my escrow account. I sent them the notice I received with late fees from the county tax collectors office. Still nothing has been done. Now they say they are working on it but dont know what happened.,Mortgage,"Shellpoint Partners, LLC",2
"The balance on my XX/XX/2019 credit card ( ending XXXX ) statement was {$20000.00}. XXXX of this was 0 APR balance transfer. The rest is {$640.00} for purchases and fees. 
I paid XXXX dollars for this statement. XXXX dollars ( more than what I paid ) is applied to the 0-APR. So my 0-APR balance decreased by XXXX dollars. The high APR part is increased from XXXX to XXXX.",Credit card or prepaid card,JPMORGAN CHASE & CO.,1
"The original creditor which is XXXX has placed this on my credit report 2years ago with a collection agency called XXXX, XXXX in XXXX I disputed the account it was investigated and removed from my reports, now XXXX it is back on my report by another collection agency by the name of Enchanced Recovery collections. If this was investigated and removed from my reports they should not be able to see it and placed on my account again this is causing a real hardship in my life. It is very stressful and it causes so much stress in people lives to have to keep dealing with this kind of head ache. I have never received any documentation from XXXX or enchanced recovery. But I do have proof that it was on my account in XXXX and did not show up on my XXXX credit report again until now XXXX. XXXX. Please have this removed off my reports immediately. I will also be filing a report with theXXXX XXXX XXXX",Debt collection,ERC,0
I have made numerous attempts to try to resolve this debt. I requested information baring my signature. I didnt receive any information.,Debt collection,ERC,0
"GM Financial is harassing me. I have had 3 leased vehicles with GM Financial in the last 10 years. I turned in my last leased vehicle, a XXXX XXXX XXXX, in XX/XX/XXXX. It was under the mileage, no excess wear and tear, and the lease payments were made in full. That was ten ( 10 ) months ago. I did not go into a new lease and instead purchased a  used vehicle. One week ago I started getting several calls a day from GM financial on my work cell phone claiming I owed {$460.00}. I have not received a bill from GM Financial. Because I turned the vehicle in 10 months ago, it was a shock to me I was getting calls from them claiming I owe them money. I didn't even know my account number to verify with them or to ask any questions about what in the world I owed {$460.00} for because I haven't had the vehicle in almost a year and I knew it was paid off in full. On XX/XX/XXXX, I finally located an old account statement which gave me my account number and I was able to call them back and get information. The woman then told me it was for a lease disposition fee that was in my contract. Why in the world they waited 10 months to charge this fee to me, is beyond me. I asked them to please re-send the bill to my house as I can't pay it because I haven't seen it. The woman assured me she would re-send ( mail ) the bill. She told me it would take 7-10 days for me to receive it and the collection calls would stop in the mean time. Today, XX/XX/XXXX at XXXX EST I received another call from them. I didn't answer because I was on another call but I did call back at XXXX and re-explained, I do not have a bill. I will not pay this bill until I see it. I asked again to have the bill re-sent to me and I asked them to stop calling me. This is harassment at this point. They are calling me several time a day. They haven't sent me a bill. This is insane. My account number with them is XXXX. Name : XXXX XXXX.",Debt collection,"General Motors Financial Company, Inc.",0
"When checking my credit report it became apparent there was an old XXXX cell phone bill that apparently hadn't been paid and I had NEVER been notified about. I contacted XXXX directly and paid them, as they were the original creditor. I then contacted the collection agency attempting to collect the debt and asked them to update their records and delete the account from my credit report, as they have no collection authority on a non-existent debt. They refused to comply or even give me any information about how to contact a higher up in the organization. I was simply hung up on more than once.",Debt collection,ERC,0
"The company filed a foreclosure on his house but held a check for from him for {$8400.00}, if the check held by the company his account should not face foreclosure",Mortgage,COLORADO HOUSING AND FINANCE AUTHORITY,2
"I paid 3 different payments on the student loans in question before they showed delinquent, which kept the account current and now has dropped my credit score by XXXX points and will prevent me from obtaining a loan for buying a home as well as I have started classes, so there should be no credit reporting during this time.",Student loan,"Navient Solutions, LLC.",4
"I was served papers by messerli and Kramer law firm for an old XXXX debt totaling {$3000.00}. I called and we agreed on a settlement amount, that would be paid soon as I received the settlement offer. The rep/attorney said she wouldnt move forward with the lawsuit for 2 weeks to give time for the letter to get to me. I never received it, so I called again and the attorney emailed it to me. I paid the settlement amount as agreed. Today I received a letter saying they are dismissing without prejudice and said Im carrying a balance of {$540.00}",Debt collection,Messerli & Kramer P.A.,0
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, La. XXXX Re : Home Depot Credit Services/Citibank, N.A Home Depot Account number : XXXX & XXXX XX/XX/XXXX To Whom It May Concern : The reason I am filing this complaint with your agency is due to Home Depot/Citibank, N.A offering me a high APR interest rate of my Home Depot credit card account. On XX/XX/XXXX, when I applied for credit with Home Depot my credit scores were XXXX  XXXX & XXXX  XXXX, and I should have qualified for a lower APR interest rate. I also never miss any payments and my account never went into default and what is also upsetting that Home Depot also  refuses to apply any overpayments above the minimum to the promotional balance rather than all of it being applied to the revolving balance. I was never properly disclosed that I was told for that to happen I needed to contact the credit department to put in a request to have payments properly applied before promotion expire. According to the Home Depot agreement, Home Depot/Citibank, N.A on qualified account holders offered an APR interest rate between 17.99 % - 26.99 with credit approval. With my excellent credit score, I shouldve been offered a lower APR interest rate, instead of a 25.99 % APR interest rate. I believe Home Depot/Citi Bank shouldve offered me a lower APR interest rate instead of the regular interest rate of 25.99 % at the time when I have applied for the Home Depot account. I would greatly appreciate if you could please investigate this matter for due fairness. Thank you in advance for your prompt response regarding this critical issue. 

Respectfully, XXXX XXXX",Credit card or prepaid card,"CITIBANK, N.A.",1
"I applied to open capital one 360 account online but they declined to open it without any valid reason or provide any kind of reasoning. 

It is a third class bank",Checking or savings account,CAPITAL ONE FINANCIAL CORPORATION,3
"I am a veteran who received a marketing call from my current mortgage company, Freedom Mortgage, who encouraged me to apply for a VA IRRRL. Since the inception of this process communication with the company has been predominately through a Customer Advocate who knows little to nothing about the loan process. The replies to my emails ( when the Customer Advocate decides to reply ) are short and scripted with no explanation as to why it has been almost three months and there has been no action on my IRRRL. I keep getting the run around, and told that the company is working very hard. I received all of the initial promises from the first loan officer about the benefits of the IRRRL and since then nothing has happened. I started the process on XX/XX/2019 and they said we would be able to close in about a month, it is now XX/XX/2019 and I still have no definitive reason why the process has stopped. I contact the Customer Advocate about once every two weeks. The reply is they are working hard If I try to phone the number goes to a recorded line that says to leave a detailed message. This company services my current mortgage, and I am disgusted by the poor customer service and being treated unfairly. I feel as though I have been scammed. The manner in which this company conducts their business is unprofessional, and as a veteran I feel as though I have been treated poorly. Remember, They called me and promised a lot of service and haven't followed through on anything, and now I am concerned about how this company does business.",Mortgage,Freedom Mortgage Company,2
"My mortgage loan has been sold "" Caliber Home Loans '' to "" XXXX XXXX  '' with service transferring XX/XX/2019. I received notification by mail XX/XX/XXXX from Caliber and haven't received anything from XXXX XXXX. What happened to at least 30 days notice? There wasn't any mention of informing the county or municipality where I live.",Mortgage,"Caliber Home Loans, Inc.",2
"There is a bill from the XXXX XXXX visit. At the time of the visit, I was XXXX   and receiving XXXX and XXXX for insurance. Additionally, I was going through fleeing from XXXX XXXX. So, I was residing in a confidential shelter. I qualified for XXXX XXXX offered, as well as other XXXX options. I told the personnel about my situation and was given assurance no bill was issued based on information as stated above. As of to date, I am on XXXX and have been since I moved to California XX/XX/XXXX. I was not aware of any bills until I recently received my credit report. I was surprised to see a balance from XXXX XXXX. I can assure you I was definitely receiving XXXX and XXXX. So, I am perplexed as to why I have an outstanding balance on my credit bureau. 

MESSAGE FROM BUSINESS : Dear Ms. XXXX, This letter is in response to an inquiry received at XXXX XXXX XXXX from the XXXX XXXX XXXX  on XX/XX/XXXX. The inquiry referenced your complaint regarding your XXXX XXXX ( XXXX  ) visit on XX/XX/XXXX. Your concern is that the charges for this visit appear on your credit report, and that you were XXXX eligible at the time of service, Treviewed this visit and located the eligibility inquiry our registrar submitted on the XXXX website. Based upon the SS # and birth date provided at registration, it was determined you were not XXXX  eligible on XX/XX/XXXX. ( Please see the attached copy for your reference ). Therefore, this encounter was considered a "" cash '' account because there was no insurance to bill. XXXX-XXXX  eligibility was checked again in XX/XX/XXXX, and again was returned as not eligible. Please note the State of  California only allows one year from the date of service to check for eligibility, so currently we are unable to check for XX/XX/XXXX. 

Treviewed the physician 's dictation from this visit which mentions "" patient is residing in her XXXX ''. Because of this statement in the ED dictation, I will consider this to qualify for our financial assistance program. Therefore, I have contacted the collection agency, CMRE Financial Services, to cancel collection efforts and have this balance removed from the credit bureaus. A letter from CMRE is forthcoming to confirm this information and will be mailed to the address listed above. You can contact CMRE directly at ( XXXX ) XXXX if a letter is not received within 2 weeks. 

Please note we consider this account to be resolved. 

Regards, XXXX XXXX.",Debt collection,"CMRE Financial Services, Inc.",0
"Nissan motor-acceptance. 

Their system was down for a full week during this week I traded in my XXXX XXXX XXXX. Because they had a system wide error. You were not able to gain access to your account via phone, website or app. Because the dealership was unable to verify payoff of my trade it delayed the payoff from being processed since then my account has reached 10 days past due, Ive received 4-5 calls per day since I hit 8 days past due. Theyre aware that a payoff is coming, Ive repeatedly requested no contact other than email from them. Today alone Ive received 4 calls after requesting a do not contact, Per CFBP max attempt is 3 times per day per number.",Debt collection,NISSAN MOTOR ACCEPTANCE CORPORATION,0
"When living in XXXX XXXX XXXX  XXXX  XXXX at XXXX XXXX back in XXXX I had a balance owed of {$270.00}. This amount was paid in full as of XX/XX/XXXX, I was provided a proof of payment letter and submitted to all three credit bureaus. Unfortunately the only credit bureau that removed it was XXXX XXXX. Can you PLEASE assist me with helping dispute this item on my credit with XXXX and Experian. They should have deleted this item Just like XXXX but they are giving me an extremely hard time- My credit along with finding a place to stay is suffering from this.. That you so much.. Info you may need pertaining to bill ; XXXX XXXX a XXXX XXXX XXXX Agency name paid in full to : XXXX XXXX Sub # XXXX XXXX XXXX XX/XX/XXXX",Debt collection,Experian Information Solutions Inc.,0
"Bank of America send me an unsolicited email message that contained the following statement : "" Bank of America, XXXX XXXX XXXX, XXXX, FL XXXX. Please do NOT send any physical mail to this address, especially mail containing sensitive information. 

Need to get in touch? Simply visit our Contact Us page for multiple ways to connect. Please do not reply to this email, as email replies are not monitored. '' Specifically Bank of America does not want me to contact them in writing regarding the matters of the unsolicited email message that raised multiple concerns.",Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION",3
I have an account with Bank of America and a credit union. I paid for a money order so the funds would be secured and released sooner. The bank put an 11 day ( 7 business day ) hold on the funds. I called the bank on XX/XX/XXXX asked to speak to a supervisor 3 times the rep would put me on hold then come back and just start taking again without any explanation why I couldnt speak to a supervisor. She finally said the credit union stated they wont release the funds for the 11 days. I called the credit union and they said that is false and they were willing to verify funds with someone from Bank of America. I called Bank of America back on Saturday spoke to a manager who said a rep from the credit union isnt sufficient for them to release the funds. She stated its their right to put a hold on the funds. She stated its a different kind of check then I normally  deposit. I corrected her stating I deposit money orders frequently and have never had this issue. The last two were a few weeks ago in the 800 dollar range and I didnt have this issue. I asked to speak to whomever is above her. They werent available today and would call me back Monday or Tuesday she said but they will tell me the same thing. I explained my biggest issue is I know it will only take a couple of days for them to receive the funds but they still wont release them to me until the XXXX. She said this is true. I explained my bills will be late by the XXXX and then I will have fees. She was unmoved. I also stated the reason I paid for the money order is because it is secured funds so I wouldnt have to put up with this. She wouldnt budge.,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION",3
"Someone who mumbles his name ( XXXX XXXX ) has called multiple times ( over 20 ) from XX/XX/2019 to present day XX/XX/2019. He leaves a call back number XXXX and a reference number : XXXX I have three saved messages from this guy and over 20 calls with no messages.

this person is now calling my relatives as of XXXX XXXX, 2019. This person claims to be representing American Express. The American express company and I completed our business over three years ago with in their view : me not paying them what they claim I owe.

I am not disputing or wanting you to address the claimed owed. It has been settled and this collector is abusing with phone calls ( first one I told him live over the phone I am not interested in re-opening this dispute, it is closed and to STOP calling. 

I have noticed XXXX XXXX calls from multiple numbers all beginning with XXXX.xxxx He claims to be with American Express XXXX American Express has written off the account balance and I have not heard from them in two years.",Debt collection,AMERICAN EXPRESS COMPANY,0
"I have contacted Equifax numerous times regarding fraudulent account reporting on my personal information. I have been a victim of identity theft and following account is a result of me falling a victim of a victim of this crime. My social security was compromised when I got my mailbox broken into many times. I am a XXXX year old men and I have never opened any account with a company called XXXX XXXX XXXX nor gave anyone else the permission or the authorization to use my information. I have contacted Equifax to correct my credit report by removing the fraudulent account from reporting on my credit file, by sending them Identity Theft Report with attached my social security number and ID. Equifax never conducted a proper investigation. I have requested their method of verification from Equifax and from XXXX XXXX XXXX  but never received anything from neither of the company. I am making an attempt for you to clear up this matter. The reporting account with XXXX XXXX XXXX is a result of mail fraud, please help me resolve this misunderstanding.",Debt collection,"EQUIFAX, INC.",0
"On XX/XX/2019, I was attempting to make a payment to my XXXX rewards card. My checking account routing number and account number was entered into their online system. After entering all information, I received a conformation email as if a payment was received. On the same day, I entered another payment of {$100.00} dollars for the following month payment and I received a confirmation email. On XX/XX/2019, 1 month after the due date and after contacting the company, I realized that the payment was never received. I was never noticed by email or phone that the account information was entered incorrectly. Now the company is reporting a 30 day late to my credit. 

When speaking to a representative from your company, my information was given to someone else over the phone without my authorization. The representative number ( XXXX ) XXXX.",Credit card or prepaid card,Alliance Data Card Services,1
"I had a loan thru united finance as of XX/XX/XXXX -- a little after I received this loan I had to go out on short term leave, where I was only receiving 65 % of my pay and I was getting garnished also so I was receiving only 300-400 dollar checks I informed XXXX of my hardship an he did not offer no help just waived a late fee -- My garnishment should of ended XXXX. My XX/XX/XXXX payment I had planned on paying this on XXXX but I ended up getting garnished which caused me to be short, I advised this to the company letting them know I would have to wait for a refund from the company who took money- Ufortunatley I got garnished again on my next pay period in XXXX XX/XX/XXXX, my employer told me I would get that money back in 1-2 pay periods. 
I was only 30days when they took my car on XXXX I finally got all the refund by XXXX but by then I was advised I would have to pay {$1300.00} in cash to get my car, which is way more than 2 payments. 
This company advertises on the they help and I was offered nothing in my financial hardhsip",Vehicle loan or lease,United Group Inc.,5
"In late XX/XX/XXXX I received a letter from XXXX XXXX, CEO, of Residential Credit Opportunities Trust V-E titled "" Notification of Assignment, Sale or Transfer of Your Mortgage Loan ''. The letter was dated XX/XX/XXXX. 

I sent a notice of dispute and demand for validation to him at the address provided in late XX/XX/XXXX or early XX/XX/XXXX. In response, Mr. XXXX sent me the same document containing the same information. 

Neither of the documents contained a notice of my right to dispute, at no time have I received proof of the alleged debt from Residential Credit Opportunities Trust V-E, and Residential Credit Opportunities Trust V-E claims it has the right to modify the terms of the alleged debt in a notice of sale sent to me by XXXX XXXX XXXX. 

Residential Credit Opportunities Trust V-E has not replied to my second attempt to dispute and demand validation of the alleged debt and yet it continues to attempt to collect from me.",Debt collection,Residential Credit Opportunities Trust,0
"I have already paid off the bill, that has Been placed on my credit file, it has been removed by my other credit files for some reason they are saying that it is current, it is not current I have contacted the provider and they do not show me owing this amount because I have satisfied the amount in full. This is not correct and every time I contact the collection agency they say they will remove it has not been done, something needs to be done. I have my receipt of payment and so does the provider involved, this needs to be addressed and removed off of my credit file.",Debt collection,"Convergent Resources, Inc.",0
"Hello, I accrued a debt from an apartment complex judgement in XX/XX/XXXX. As specifically directed by the complex, I paid the debt to Hunter Warfield in XX/XX/XXXX. Debt remained on my credit report after repeatedly notifying ALL parties involved from XX/XX/XXXX-XX/XX/XXXX. I was unable to rent an apartment in my name for YEARS ( XX/XX/XXXX/XX/XX/XXXX to be exact ). 
I believe the collection agency committedseveral violations ( FDCPA and others ) Including but not limited to : 807. False or misleading representations 808. Unfair practices ( 1 ) 809. Validation of debts 812. Furnishing certain deceptive forms 813. Civil liability ( Specifically B-1 ) -the frequency and persistence of noncompliance by the debt collector, the nature of such noncompliance, and the extent to which such noncompliance was intentional I have every single receipt, email correspondence, credit report, direct dispute to the credit bureaus, complaint #, Attorney/Firm of record information, rental application, adverse action letter, video, audio etc ... to validate my beliefs. The collection agency is also aware of our interactions over the years. 

The collection agency is not only blatantly rude and egregiouslydeceptive at every turn, they are also extremely reliant on the statute of limitations. However, I recently discoveredthe court and law firm of record was never paid nor notified the debt was satisfied. Credit reports no longer report judgments butto this day ( XX/XX/XXXX ) I have an unpaid judgement in my name until XX/XX/XXXX. The statute of limitations on a civil judgement is 10 years. Legally I am still subject to garnishment if anyone ever tried to pursue action. It is my belief, that they acted fully as creditor and in doing so violatedTennessee Code Title 26. Execution 26-2-217 : ( 2 ) The judgment creditor shall notify the court clerk of the balance due upon a judgment whenever the creditor causes the issuance or revival of a garnishment thereon. Furthermore, the judgment creditor shall notify the court clerk when the judgment has been satisfied. Tenn. Code 26-2-217 Please note, there is NO DISPUTE from either party that the debt was paid in XX/XX/XXXX. The issue, as I believe, is that they want to separate the judgement from the debt and deny responsibility forall related items that appeared on my credit report ; yet, they acted fully on their client 's behalf when they accepted the payment ( and approved it's deletion in XX/XX/XXXX ). I can also prove that even if it is two separate issues, even their client was unaware of this arrangement. 

This issueis from my very first apartment. As a regular adult, I could not simply give up my attempt to provide shelter. IHAD to keep all of my documentation in order to embarrassingly explain this situation repeatedly to rental properties. I literally made life decisions based on this. This has been continuously stressful but with family, I make it through. 

It is my sincerest hope that they are unable to do this to anyone else. 

Most importantly, Thank You for this service. Like many others subjected to predatory business practices, I do not have counsel. I only have my voice. Iam grateful for theefforts of those who tireless work to increase our tone. 

Best Regards, XXXX XXXX XXXX XXXX XXXX XXXX",Debt collection,"Hunter Warfield, Inc.",0
Huntington national bank was a horrible process just to get the loan an even after has been horrid me since To get an fha loan you have to have insurance well I went ahead an call Huntington an said Ill take their insurance low an behold a year later went to make a claim so I called Huntington to see who to talk to about the claim and was told XXXX well I called XXXX an was told no policy was in place so I called Huntington back and they said oh ok its XXXX heres a policy number Well XXXX  said no policy was in place so once I told Huntington that they forced placed insurance that was XXXX $ more a year an XXXX on me because of their mistake so now a year after that I get a letter sayin Im gon na owe XXXX $ for more force placed insurance from before I made the claim in my eyes Huntington did not have all the requirements for the loan ( insurance ) an my loan should be terminated at their expense I want out of my loan out of the house an no percussions from their mess up,Mortgage,"HUNTINGTON NATIONAL BANK, THE",2
"I was shocked when I reviewed my credit report and found 60 days late payment on the dates XX/XX/XXXX and 30 days  late payment on the dates XX/XX/XXXX, XX/XX/XXXX . I am not sure how this happened, I believe that I had made my payments to you when I received my statements. My only thought is that my monthly statement did not get to me.",Credit card or prepaid card,DISCOVER BANK,1
I am a victim of identity theft and this debt does not belong to me. Please see the identity theft report and legal affidavit attached.,Debt collection,"PMAB,LLC",0
